"Rank_90","Genus","FIS_90","Cumulative_FIS_percent","Selected_Metabolites_90","Median_Bayesian_pvalue_90_selected_edges","FIS_95","Rank_95","FIS_99","Rank_99","Percentile_Rank_90"
1,"CAG.196",1.4534,0.58,136,0.00888,1.5805,3,1.94,4,100
2,"Choladocola",1.4211,1.15,133,0.00888,1.4425,12,1.8662,8,99.65
3,"Alistipes_A",1.3979,1.72,131,0.00222,1.6251,1,2.3187,1,99.3
4,"Veillonella",1.3974,2.28,130,0.00777,1.5023,8,1.9327,5,98.95
5,"Ligilactobacillus",1.3776,2.83,129,0.00444,1.5987,2,2.0994,2,98.6
6,"Agathobacter",1.3568,3.38,126,0.00888,1.5478,4,1.6865,17,98.25
7,"Mogibacterium",1.3556,3.92,127,0.00888,1.5438,5,1.8829,6,97.9
8,"Massiliomicrobiota",1.3507,4.46,126,0.00666,1.4562,10,1.9554,3,97.55
9,"Caccousia",1.3358,5,126,0.00666,1.3891,18,1.7287,15,97.2
10,"Succinivibrio",1.323,5.53,123,0.0111,1.4543,11,1.6536,19,96.85
11,"Phil1",1.3132,6.06,123,0.0111,1.4062,17,1.6779,18,96.5
12,"Gemmiger",1.3128,6.58,123,0.00666,1.5111,7,1.8485,9,96.15
13,"Anaerotignum",1.3119,7.11,123,0.00444,1.542,6,1.8697,7,95.8
14,"Egerieisoma",1.3026,7.63,121,0.00888,1.3852,19,1.7637,11,95.45
15,"UBA3402",1.2946,8.15,121,0.01332,1.3544,21,1.526,27,95.1
16,"Fimenecus",1.2834,8.67,120,0.01332,1.4368,14,1.56,23,94.76
17,"Avimicrobium",1.2822,9.18,120,0.00888,1.4393,13,1.632,20,94.41
18,"Merdisoma",1.2774,9.7,119,0.00888,1.4263,15,1.7474,13,94.06
19,"Enterocloster",1.2735,10.21,119,0.01554,1.318,26,1.4299,39,93.71
20,"CAG.83",1.2648,10.72,118,0.00888,1.4915,9,1.7434,14,93.36
21,"UBA737",1.2533,11.22,117,0.0111,1.3849,20,1.5339,26,93.01
22,"Gemella",1.2417,11.72,116,0.01776,1.1854,51,1.3463,51,92.66
23,"Pauljensenia",1.2167,12.21,114,0.00666,1.3294,24,1.7477,12,92.31
24,"HGM12814",1.2165,12.7,114,0.00999,1.4129,16,1.5347,25,91.96
25,"Butyricicoccus_A",1.2101,13.18,113,0.00666,1.3444,22,1.779,10,91.61
26,"CAG.317",1.2038,13.67,112,0.01332,1.2542,36,1.3722,49,91.26
27,"Streptococcus",1.1997,14.15,112,0.01332,1.2868,28,1.3638,50,90.91
28,"Bariatricus",1.1955,14.63,112,0.00888,1.2161,45,1.5664,22,90.56
29,"Anaerotruncus",1.1942,15.11,111,0.0111,1.2481,39,1.4584,33,90.21
30,"Fusobacterium_B",1.1923,15.59,111,0.01332,1.2857,30,1.3978,43,89.86
31,"Faecalimonas",1.192,16.06,112,0.00666,1.3364,23,1.7207,16,89.51
32,"Onthousia",1.1873,16.54,110,0.01554,1.2255,42,1.3139,54,89.16
33,"Limosilactobacillus",1.1853,17.02,111,0.01332,1.1637,57,1.4029,41,88.81
34,"Amedibacterium",1.1849,17.49,111,0.00888,1.2605,35,1.5153,29,88.46
35,"Mitsuokella",1.1787,17.97,110,0.01443,1.251,37,1.498,30,88.11
36,"CAG.95",1.1783,18.44,110,0.00888,1.2147,46,1.5193,28,87.76
37,"Turicibacter",1.1709,18.91,109,0.01554,1.27,32,1.3427,52,87.41
38,"CAG.177",1.1607,19.38,108,0.01776,1.161,58,1.1153,85,87.06
39,"Phascolarctobacterium_A",1.1491,19.84,108,0.00888,1.2669,34,1.4815,31,86.71
40,"Eubacterium_F",1.1481,20.3,107,0.00666,1.2682,33,1.5995,21,86.36
41,"Romboutsia",1.1398,20.76,105,0.01776,1.134,63,1.2048,72,86.01
42,"Butyricicoccus",1.1389,21.21,107,0.01776,1.1159,66,1.2604,65,85.66
43,"Merdicola",1.1386,21.67,105,0.0111,1.219,44,1.4018,42,85.31
44,"Clostridium_AQ",1.1372,22.13,106,0.01443,1.2012,48,1.2254,69,84.97
45,"Sellimonas",1.1363,22.58,107,0.0111,1.2952,27,1.4657,32,84.62
46,"Bacteroides",1.1305,23.04,106,0.01332,1.1794,54,1.3008,55,84.27
47,"Lawsonibacter",1.1298,23.49,106,0.0111,1.2861,29,1.3782,47,83.92
48,"Alistipes",1.1289,23.95,105,0.01776,1.103,69,1.2858,57,83.57
49,"Granulicatella",1.1289,24.4,105,0.01554,1.2191,43,1.385,46,83.22
50,"CAG.267",1.1268,24.85,105,0.01554,1.1804,53,1.2787,59,82.87
51,"Lancefieldella",1.1252,25.3,105,0.0111,1.1365,62,1.3946,45,82.52
52,"Copromonas",1.1217,25.75,105,0.01776,1.1747,55,1.2754,60,82.17
53,"1XD42.69",1.1206,26.2,105,0.00888,1.3249,25,1.4408,35,81.82
54,"Enterococcus",1.1188,26.65,103,0.00888,1.2458,40,1.4538,34,81.47
55,"UMGS872",1.1161,27.1,105,0.0111,1.2131,47,1.4142,40,81.12
56,"Gordonibacter",1.1134,27.55,104,0.0111,1.2457,41,1.3774,48,80.77
57,"Intestinibacter",1.1127,28,103,0.01554,1.1413,60,1.2905,56,80.42
58,"CAG.239.g__51.20",1.1109,28.44,103,0.00888,1.2482,38,1.5554,24,80.07
59,"CAG.603",1.1085,28.89,104,0.01332,1.1816,52,1.2687,62,79.72
60,"Butyribacter",1.1075,29.33,104,0.01332,1.1643,56,1.3414,53,79.37
61,"Slackia_A",1.105,29.78,103,0.01554,1.1534,59,1.1887,73,79.02
62,"UBA4372",1.0972,30.22,103,0.01332,1.1263,64,1.2206,71,78.67
63,"Oliverpabstia",1.0902,30.65,101,0.00666,1.2003,49,1.4358,37,78.32
64,"Mailhella",1.0893,31.09,101,0.00888,1.2776,31,1.4375,36,77.97
65,"Eubacterium_R",1.0701,31.52,100,0.01998,1.0162,90,1.151,78,77.62
66,"Porphyromonas",1.0684,31.95,100,0.01776,1.0298,88,0.9805,105,77.27
67,"Ruminococcus_D",1.0646,32.38,99,0.01332,1.1403,61,1.2613,64,76.92
68,"Angelakisella",1.0579,32.8,99,0.0222,1.0869,72,1.0126,99,76.57
69,"An92",1.0568,33.23,99,0.01332,1.113,67,1.2504,66,76.22
70,"Lachnospiraceae.g__14.2",1.0565,33.65,99,0.01554,1.0316,86,1.1283,81,75.87
71,"CAG.1031",1.0507,34.07,98,0.01443,1.0578,83,1.1229,83,75.52
72,"Acetatifactor",1.0461,34.49,98,0.01776,1.0826,73,1.014,98,75.17
73,"MWCK01",1.0433,34.91,97,0.01332,1.1097,68,1.0112,100,74.83
74,"Bilophila",1.036,35.33,96,0.00888,1.1913,50,1.3952,44,74.48
75,"Copromorpha",1.0288,35.74,97,0.0111,1.0649,80,1.2704,61,74.13
76,"Streptomyces",1.0234,36.15,96,0.01776,1.0943,70,1.0775,90,73.78
77,"Oxalobacter",1.0199,36.56,95,0.01998,1.0595,82,1.1603,76,73.43
78,"F23.B02",1.0129,36.97,95,0.01332,1.0787,75,1.1524,77,73.08
79,"Flavonifractor",1.0074,37.37,94,0.01554,1.0027,93,1.0519,93,72.73
80,"Faecalitalea",1.0044,37.78,94,0.02775,0.8972,123,0.9205,117,72.38
81,"UMGS856",1.0023,38.18,93,0.0222,1.0339,84,0.9795,106,72.03
82,"Fimivicinus",1.0004,38.58,93,0.01998,0.9856,100,0.9971,102,71.68
83,"Agathobaculum",0.9992,38.98,94,0.01776,1.0689,79,1.128,82,71.33
84,"Odoribacter",0.9989,39.38,94,0.0111,1.0937,71,1.2321,68,70.98
85,"Clostridium",0.9984,39.78,93,0.01332,1.0648,81,1.1343,80,70.63
86,"CAG.488",0.9978,40.19,93,0.0222,1.076,77,0.772,148,70.28
87,"Eggerthella",0.9978,40.59,93,0.0111,1.1261,65,1.2385,67,69.93
88,"Lactococcus",0.9959,40.99,93,0.01776,0.9728,103,1.0779,89,69.58
89,"Intestinimonas",0.992,41.38,93,0.01332,1.0802,74,1.1441,79,69.23
90,"Blautia_A",0.9873,41.78,93,0.02664,0.927,117,0.8007,138,68.88
91,"Schaedlerella",0.986,42.18,92,0.01332,1.0307,87,1.0328,95,68.53
92,"Phil12",0.9821,42.57,91,0.0222,0.9141,120,0.7819,145,68.18
93,"NSJ.51",0.9788,42.96,91,0.00888,1.0071,91,1.2849,58,67.83
94,"NSJ.61",0.9769,43.36,91,0.01554,0.992,97,1.1138,86,67.48
95,"Evtepia",0.9748,43.75,91,0.0111,0.9773,101,1.175,74,67.13
96,"Lacrimispora",0.9689,44.14,91,0.01554,0.9494,110,0.9783,107,66.78
97,"CAG.266",0.9672,44.53,90,0.01554,0.9988,94,1.0767,91,66.43
98,"Holdemania",0.965,44.91,90,0.01332,0.9974,96,1.0491,94,66.08
99,"Limisoma",0.9615,45.3,90,0.01554,1.0324,85,1.0259,96,65.73
100,"Dorea",0.9615,45.69,90,0.00666,1.0704,78,1.4327,38,65.38
101,"Parvimonas",0.9604,46.07,89,0.02886,0.8927,125,0.9388,116,65.03
102,"Tidjanibacter",0.9593,46.46,89,0.01554,0.9979,95,0.9615,112,64.69
103,"Coprobacter",0.9524,46.84,89,0.01332,1.0768,76,1.1127,87,64.34
104,"CAG.41",0.9475,47.22,89,0.01776,0.9492,111,0.8756,126,63.99
105,"Negativibacillus",0.9474,47.6,89,0.0111,0.9522,107,1.2226,70,63.64
