"Genus","FIS rank (default; 90% CI-based)","FIS (default; 90% CI-based)","Cumulative FIS (%)","Num. Selected metabolites","Median Bayesian p-value (default; 90% CI-based)","FIS (95% CI-based)","Rank (95% CI-based)","FIS (99% CI-based)","Rank (99% CI-based)"
"CAG.196",1,1.45,0.58,136,0.009,1.58,3,1.94,4
"Choladocola",2,1.42,1.15,133,0.009,1.44,12,1.87,8
"Alistipes_A",3,1.4,1.72,131,0.002,1.63,1,2.32,1
"Veillonella",4,1.4,2.28,130,0.008,1.5,8,1.93,5
"Ligilactobacillus",5,1.38,2.83,129,0.004,1.6,2,2.1,2
"Agathobacter",6,1.36,3.38,126,0.009,1.55,4,1.69,17
"Mogibacterium",7,1.36,3.92,127,0.009,1.54,5,1.88,6
"Massiliomicrobiota",8,1.35,4.46,126,0.007,1.46,10,1.96,3
"Caccousia",9,1.34,5,126,0.007,1.39,18,1.73,15
"Succinivibrio",10,1.32,5.53,123,0.011,1.45,11,1.65,19
"Phil1",11,1.31,6.06,123,0.011,1.41,17,1.68,18
"Gemmiger",12,1.31,6.58,123,0.007,1.51,7,1.85,9
"Anaerotignum",13,1.31,7.11,123,0.004,1.54,6,1.87,7
"Egerieisoma",14,1.3,7.63,121,0.009,1.39,19,1.76,11
"UBA3402",15,1.29,8.15,121,0.013,1.35,21,1.53,27
"Fimenecus",16,1.28,8.67,120,0.013,1.44,14,1.56,23
"Avimicrobium",17,1.28,9.18,120,0.009,1.44,13,1.63,20
"Merdisoma",18,1.28,9.7,119,0.009,1.43,15,1.75,13
"Enterocloster",19,1.27,10.21,119,0.016,1.32,26,1.43,39
"CAG.83",20,1.26,10.72,118,0.009,1.49,9,1.74,14
"UBA737",21,1.25,11.22,117,0.011,1.38,20,1.53,26
"Gemella",22,1.24,11.72,116,0.018,1.19,51,1.35,51
"Pauljensenia",23,1.22,12.21,114,0.007,1.33,24,1.75,12
"HGM12814",24,1.22,12.7,114,0.01,1.41,16,1.53,25
"Butyricicoccus_A",25,1.21,13.18,113,0.007,1.34,22,1.78,10
"CAG.317",26,1.2,13.67,112,0.013,1.25,36,1.37,49
"Streptococcus",27,1.2,14.15,112,0.013,1.29,28,1.36,50
"Bariatricus",28,1.2,14.63,112,0.009,1.22,45,1.57,22
"Anaerotruncus",29,1.19,15.11,111,0.011,1.25,39,1.46,33
"Fusobacterium_B",30,1.19,15.59,111,0.013,1.29,30,1.4,43
"Faecalimonas",31,1.19,16.06,112,0.007,1.34,23,1.72,16
"Onthousia",32,1.19,16.54,110,0.016,1.23,42,1.31,54
"Limosilactobacillus",33,1.19,17.02,111,0.013,1.16,57,1.4,41
"Amedibacterium",34,1.18,17.49,111,0.009,1.26,35,1.52,29
"Mitsuokella",35,1.18,17.97,110,0.014,1.25,37,1.5,30
"CAG.95",36,1.18,18.44,110,0.009,1.21,46,1.52,28
"Turicibacter",37,1.17,18.91,109,0.016,1.27,32,1.34,52
"CAG.177",38,1.16,19.38,108,0.018,1.16,58,1.12,85
"Phascolarctobacterium_A",39,1.15,19.84,108,0.009,1.27,34,1.48,31
"Eubacterium_F",40,1.15,20.3,107,0.007,1.27,33,1.6,21
"Romboutsia",41,1.14,20.76,105,0.018,1.13,63,1.2,72
"Butyricicoccus",42,1.14,21.21,107,0.018,1.12,66,1.26,65
"Merdicola",43,1.14,21.67,105,0.011,1.22,44,1.4,42
"Clostridium_AQ",44,1.14,22.13,106,0.014,1.2,48,1.23,69
"Sellimonas",45,1.14,22.58,107,0.011,1.3,27,1.47,32
"Bacteroides",46,1.13,23.04,106,0.013,1.18,54,1.3,55
"Lawsonibacter",47,1.13,23.49,106,0.011,1.29,29,1.38,47
"Alistipes",48,1.13,23.95,105,0.018,1.1,69,1.29,57
"Granulicatella",49,1.13,24.4,105,0.016,1.22,43,1.39,46
"CAG.267",50,1.13,24.85,105,0.016,1.18,53,1.28,59
"Lancefieldella",51,1.13,25.3,105,0.011,1.14,62,1.39,45
"Copromonas",52,1.12,25.75,105,0.018,1.17,55,1.28,60
"1XD42.69",53,1.12,26.2,105,0.009,1.32,25,1.44,35
"Enterococcus",54,1.12,26.65,103,0.009,1.25,40,1.45,34
"UMGS872",55,1.12,27.1,105,0.011,1.21,47,1.41,40
"Gordonibacter",56,1.11,27.55,104,0.011,1.25,41,1.38,48
"Intestinibacter",57,1.11,28,103,0.016,1.14,60,1.29,56
"CAG.239.g__51.20",58,1.11,28.44,103,0.009,1.25,38,1.56,24
"CAG.603",59,1.11,28.89,104,0.013,1.18,52,1.27,62
"Butyribacter",60,1.11,29.33,104,0.013,1.16,56,1.34,53
"Slackia_A",61,1.1,29.78,103,0.016,1.15,59,1.19,73
"UBA4372",62,1.1,30.22,103,0.013,1.13,64,1.22,71
"Oliverpabstia",63,1.09,30.65,101,0.007,1.2,49,1.44,37
"Mailhella",64,1.09,31.09,101,0.009,1.28,31,1.44,36
"Eubacterium_R",65,1.07,31.52,100,0.02,1.02,90,1.15,78
"Porphyromonas",66,1.07,31.95,100,0.018,1.03,88,0.98,105
"Ruminococcus_D",67,1.06,32.38,99,0.013,1.14,61,1.26,64
"Angelakisella",68,1.06,32.8,99,0.022,1.09,72,1.01,99
"An92",69,1.06,33.23,99,0.013,1.11,67,1.25,66
"Lachnospiraceae.g__14.2",70,1.06,33.65,99,0.016,1.03,86,1.13,81
"CAG.1031",71,1.05,34.07,98,0.014,1.06,83,1.12,83
"Acetatifactor",72,1.05,34.49,98,0.018,1.08,73,1.01,98
"MWCK01",73,1.04,34.91,97,0.013,1.11,68,1.01,100
"Bilophila",74,1.04,35.33,96,0.009,1.19,50,1.4,44
"Copromorpha",75,1.03,35.74,97,0.011,1.06,80,1.27,61
"Streptomyces",76,1.02,36.15,96,0.018,1.09,70,1.08,90
"Oxalobacter",77,1.02,36.56,95,0.02,1.06,82,1.16,76
"F23.B02",78,1.01,36.97,95,0.013,1.08,75,1.15,77
"Flavonifractor",79,1.01,37.37,94,0.016,1,93,1.05,93
"Faecalitalea",80,1,37.78,94,0.028,0.9,123,0.92,117
"UMGS856",81,1,38.18,93,0.022,1.03,84,0.98,106
"Fimivicinus",82,1,38.58,93,0.02,0.99,100,1,102
"Agathobaculum",83,1,38.98,94,0.018,1.07,79,1.13,82
"Odoribacter",84,1,39.38,94,0.011,1.09,71,1.23,68
"Clostridium",85,1,39.78,93,0.013,1.06,81,1.13,80
"CAG.488",86,1,40.19,93,0.022,1.08,77,0.77,148
"Eggerthella",87,1,40.59,93,0.011,1.13,65,1.24,67
