"","X_DCA","Glycocholate","Taurocholate","Isovalerate","L-Isoleucine","L-Leucine","L-Valine","L-Phenylalanine","L-Tyrosine","L-Serine","Glycine"
"Gemmiger",0,0,0,NA,0,0,0,0,0,0,0
"Ligilactobacillus",NA,0.002,0.022,0.011,0,0,0,0,0,0,0
"Faecalimonas",NA,0.009,0.009,0,0,0,0,0.002,0.024,0.009,0
"Bacteroides",NA,0.04,0.027,NA,0,0,0,0,0,0.007,0.002
"Agathobacter",0.013,0,NA,0.031,0,0,0,0,0.002,NA,0.036
"Caccousia",NA,NA,0.002,0.002,0,0,0,NA,0.002,0,0
"CAG.83",0.002,NA,NA,0.009,0.024,0,0.002,0,0,NA,0.002
"Anaerotignum",NA,NA,0.002,0,0,0.004,0,0.02,NA,0,0.049
"Flavonifractor",NA,0,0.004,NA,0.036,0.031,0.009,0,0,0.02,NA
"Amedibacterium",NA,0.02,NA,0.02,0,0,0,0.004,NA,0.044,0.016
"1XD42.69",NA,NA,0.013,NA,0,0.002,0.002,0,0.002,0,NA
"Evtepia",NA,NA,NA,0,0.009,0.011,0.007,0,0,0.004,NA
"Choladocola",NA,0.016,NA,0,0.004,0.002,0,0,0.011,NA,NA
"Lachnospira",NA,0.016,NA,NA,0,0,0,0.002,0,0.042,NA
"Merdicola",NA,0,0.007,NA,0.002,0,0.007,0,0.047,NA,NA
