"","Propionate","Butyrate","Dihydrouracil","Glutamate","Urea","Succinate","5-Aminopentanoate","Valerate","Lysine","Alanine"
"Veillonella",-1,-1,1,-1,1,NA,-1,NA,-1,-1
"Oliverpabstia",NA,-1,1,-1,1,NA,1,NA,-1,1
"Merdicola",NA,-1,-1,-1,1,1,NA,-1,1,NA
"Sellimonas",1,1,1,NA,NA,NA,1,1,NA,-1
"Avimicrobium",NA,NA,1,1,NA,-1,1,NA,1,1
"UBA4372",-1,-1,NA,-1,1,1,NA,-1,NA,NA
"Enterocloster",1,NA,-1,NA,-1,-1,NA,NA,-1,1
"Mogibacterium",1,NA,NA,1,-1,-1,NA,1,NA,-1
"Lancefieldella",NA,NA,-1,1,NA,NA,1,1,1,1
"Turicibacter",-1,NA,-1,NA,NA,-1,NA,-1,1,-1
"Intestinibacter",-1,-1,1,-1,1,NA,NA,NA,-1,NA
"Limiplasma",1,1,1,NA,-1,-1,NA,NA,NA,1
"Anaerotignum",NA,NA,NA,-1,-1,-1,-1,NA,-1,-1
"Pauljensenia",NA,-1,1,-1,NA,NA,-1,-1,NA,-1
"An92",1,1,NA,NA,1,1,NA,NA,1,-1
