"Rank_90","Genus","FIS_90","Cumulative_FIS_percent","Selected_Metabolites_90","Median_Bayesian_pvalue_90_selected_edges","FIS_95","Rank_95","FIS_99","Rank_99","Percentile_Rank_90"
1,"Faecalicoccus",3.7563,1.51,69,0.03552,5.555,1,5.5833,5,100
2,"Oribacterium",3.4652,2.9,65,0.03108,4.7683,3,10.2,1,99.65
3,"Rikenella",3.3369,4.24,61,0.03996,4.1806,4,8.1667,2,99.3
4,"Allisonella",3.2018,5.53,57,0.02664,5.1894,2,7.5,3,98.95
5,"Duodenibacillus",2.8307,6.66,51,0.03996,4.0347,5,5.25,8,98.6
6,"Slackia_A",2.6939,7.74,49,0.05993,2.5744,19,0.4,107,98.25
7,"Bifidobacterium",2.6399,8.81,48,0.03219,3.855,6,5.5833,5,97.9
8,"Eubacterium_I",2.5053,9.81,46,0.03774,3.2247,9,5.0333,9,97.55
9,"Merdimorpha",2.5048,10.82,45,0.05105,2.2997,27,0.45,105,97.2
10,"CAG.83",2.4637,11.81,46,0.03663,3.4149,7,2.7,24,96.85
11,"Succinivibrio",2.4229,12.78,44,0.04661,2.8683,15,3.75,17,96.5
12,"Spyradocola",2.3658,13.73,43,0.04217,3.2497,8,5.8333,4,96.15
13,"Enterococcus",2.3424,14.67,45,0.04884,2.7203,17,4.3333,13,95.8
14,"Senegalimassilia",2.3002,15.59,42,0.05549,1.9456,35,3.75,17,95.45
15,"Monoglobus",2.2988,16.52,42,0.04439,3.1651,10,1,63,95.1
16,"Akkermansia",2.2541,17.42,42,0.03219,3.0835,11,5.3333,7,94.76
17,"Coproplasma",2.233,18.32,42,0.03996,2.7467,16,4.5833,11,94.41
18,"Mesosutterella",2.1937,19.2,41,0.05105,2.3396,23,1.0833,60,94.06
19,"CAG.266",2.1848,20.08,41,0.04439,2.4901,21,3.75,17,93.71
20,"Azonexus",2.1582,20.94,40,0.04662,2.3203,25,2.0333,33,93.36
21,"Massilistercora",2.1564,21.81,40,0.04773,2.8953,14,4.1667,14,93.01
22,"Fimivivens",2.1459,22.67,40,0.04439,2.6164,18,3.7,20,92.66
23,"Fimisoma",2.1165,23.52,40,0.04994,2.3321,24,1.45,46,92.31
24,"Parasutterella",2.0453,24.34,38,0.03663,2.5136,20,4.1667,15,91.96
25,"UMGS872",2.022,25.16,38,0.06437,1.8163,37,1.8333,35,91.61
26,"Enterococcus_B",1.9829,25.95,35,0.05327,2.0897,32,4.8333,10,91.26
27,"Clostridium_P",1.9383,26.73,35,0.02886,2.9104,13,3.1667,22,90.91
28,"Acidaminococcus",1.8964,27.49,35,0.06215,1.9373,36,0.7,81,90.56
29,"F23.B02",1.8754,28.25,35,0.02442,2.9136,12,4.4833,12,90.21
30,"Fournierella",1.8352,28.98,34,0.05771,1.5,53,1.3333,47,89.86
31,"Aeromonas",1.8038,29.71,33,0.03996,2.4432,22,0.6667,82,89.51
32,"Aphodousia",1.793,30.43,33,0.04439,2.2713,28,2.3333,26,89.16
33,"Lactococcus",1.7785,31.14,33,0.04884,2.1667,31,1.0833,60,88.81
34,"Scatavimonas",1.7442,31.84,33,0.03996,2.3199,26,1.8333,35,88.46
35,"CAG.245",1.6775,32.52,32,0.0566,1.6639,44,1.1667,58,88.11
36,"Faecimorpha",1.6545,33.18,31,0.05105,1.5047,52,3.5833,21,87.76
37,"Tidjanibacter",1.6357,33.84,30,0.04662,1.971,34,2.3333,28,87.41
38,"Bilophila",1.6326,34.49,29,0.03774,2.1909,30,1.25,56,87.06
39,"Barnesiella",1.624,35.14,29,0.04217,1.7483,42,2.25,31,86.71
40,"Brachyspira",1.6239,35.8,30,0.03219,2.2267,29,0.8333,74,86.36
41,"Citrobacter_B",1.611,36.44,30,0.05216,1.781,39,2.1667,32,86.01
42,"AM51.8",1.6046,37.09,31,0.05771,1.2692,66,1.6667,38,85.66
43,"HGM13006",1.5813,37.72,29,0.05105,1.5829,49,1.3333,47,85.31
44,"Pseudoruminococcus_A",1.5642,38.35,29,0.05549,1.6757,43,0.3333,108,84.97
45,"Onthousia",1.5602,38.98,29,0.05771,1.5285,51,0.5,86,84.62
46,"UMGS775",1.5522,39.6,29,0.04884,1.6231,46,1.3333,47,84.27
47,"Holdemanella",1.5037,40.21,28,0.05882,1.2389,69,2.3333,28,83.92
48,"UMGS946",1.4972,40.81,28,0.04328,1.5988,48,2.6667,25,83.57
49,"Limisoma",1.4971,41.41,28,0.05993,1.4147,58,0.75,75,83.22
50,"CAG.41",1.4273,41.98,26,0.07325,0.7652,119,0,120,82.87
51,"Oliverpabstia",1.4099,42.55,25,0.02886,1.7777,40,2.9167,23,82.52
52,"COE1",1.3967,43.11,26,0.04662,1.6631,45,1.8333,35,82.17
53,"Romboutsia",1.3903,43.67,25,0.06659,1.1635,75,1.5,45,81.82
54,"KLE1615",1.3823,44.22,26,0.05771,1.3892,59,0,120,81.47
55,"CAG.492",1.3804,44.78,25,0.04439,1.5755,50,1.25,56,81.12
56,"CAG.196",1.3794,45.33,26,0.05993,1.4762,54,1,63,80.77
57,"CAG.217",1.3649,45.88,25,0.05327,1.2785,65,1.3333,47,80.42
58,"Fusicatenibacter",1.3483,46.42,23,0.05771,1.1229,81,3.8333,16,80.07
59,"Lachnoclostridium_A",1.3438,46.96,25,0.05327,1.2864,64,1.1667,58,79.72
60,"Faecalitalea",1.3382,47.5,24,0.05771,1.0436,86,0.6667,82,79.37
61,"Fimenecus",1.3203,48.03,23,0.05993,1.4159,57,0.5,86,79.02
62,"Megasphaera",1.3149,48.56,25,0.04884,1.6163,47,0,120,78.67
63,"UBA737",1.3043,49.08,25,0.05549,1.1357,78,1,63,78.32
64,"Frisingicoccus",1.2793,49.59,24,0.03885,1.7771,41,1.5,39,77.97
