"P_Q_N","Method","TPR","FPR","MCC","AUC","AUC20","Sparsity"
20,"B-MASTER",0.966,0,0.976,1,1,0.718
20,"SSLASSO",0.983,0.148,0.777,0.941,0.74,0.608
20,"remMap-bic",0.983,0.148,0.777,0.936,0.711,0.608
50,"B-MASTER",0.999,0.002,0.996,1,1,0.704
50,"SSLASSO",0.988,0.154,0.777,0.931,0.678,0.6
50,"remMap-bic",0.988,0.154,0.776,0.925,0.65,0.6
100,"B-MASTER",0.982,0.025,0.947,0.994,0.97,0.689
100,"SSLASSO",0.996,0.198,0.737,0.929,0.653,0.563
100,"remMap-bic",0.996,0.198,0.737,0.945,0.733,0.563
200,"B-MASTER",0.963,0.033,0.921,0.992,0.969,0.69
200,"SSLASSO",1,0.195,0.742,0.931,0.654,0.565
200,"remMap-bic",1,0.195,0.742,0.961,0.805,0.565
