"P_Q_N","Method","TPR","FPR","MCC","AUC","AUC20","Sparsity"
20,"B-MASTER",0.974,0,0.982,1,0.999,0.715
20,"SSLASSO",0.983,0.124,0.807,0.959,0.826,0.625
20,"remMap-bic",0.983,0.124,0.807,0.956,0.81,0.625
50,"B-MASTER",0.991,0,0.993,1,1,0.708
50,"SSLASSO",1,0.109,0.841,0.959,0.819,0.628
50,"remMap-bic",1,0.109,0.841,0.961,0.804,0.628
100,"B-MASTER",0.978,0.012,0.964,0.997,0.986,0.699
100,"SSLASSO",1,0.131,0.815,0.961,0.804,0.609
100,"remMap-bic",1,0.131,0.815,0.965,0.826,0.608
200,"B-MASTER",0.972,0.026,0.937,0.995,0.98,0.692
200,"SSLASSO",1,0.143,0.8,0.959,0.793,0.601
200,"remMap-bic",1,0.143,0.8,0.975,0.876,0.601
